pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
5037,5374042,1066.91,0.0,0.99,0.0,1
39,44394,1138.31,0.26,0.0,0.0,1
5104,5445464,1066.9,0.0,0.99,0.0,1
10,1130,113.0,0.9,0.0,0.1,1
5138,5514844,1073.34,0.0,0.98,0.0,1
47,46446,988.21,0.36,0.0,0.02,1
5001,5323066,1064.4,0.0,1.0,0.0,1
53,67044,1264.98,0.17,0.0,0.02,1
5112,5436392,1063.46,0.0,1.0,0.0,1
77,98906,1284.49,0.16,0.0,0.01,1
5087,5407742,1063.05,0.0,1.0,0.0,1
10,600,60.0,1.0,0.0,0.0,1
5146,5475636,1064.06,0.0,1.0,0.0,1
83,115260,1388.67,0.08,0.0,0.01,1
5065,5385290,1063.24,0.0,1.0,0.0,1
11,666,60.55,1.0,0.0,0.0,1
5180,5532744,1068.1,0.0,0.99,0.0,1
76,87326,1149.03,0.25,0.0,0.03,1
5254,5591764,1064.29,0.0,1.0,0.0,1
21,1790,85.24,0.95,0.0,0.05,1
5305,5639130,1062.98,0.0,1.0,0.0,1
5089,5419962,1065.03,0.0,0.99,0.0,1
142,184230,1297.39,0.15,0.0,0.02,1
5221,5545586,1062.17,0.0,1.0,0.0,1
34,16998,499.94,0.68,0.0,0.03,1
4999,5328606,1065.93,0.0,0.99,0.0,1
50,46626,932.52,0.4,0.0,0.04,1
5126,5486932,1070.41,0.0,0.98,0.0,1
147,200412,1363.35,0.1,0.0,0.02,1
5104,5475640,1072.81,0.0,0.98,0.0,1
68,85392,1255.76,0.18,0.0,0.03,1
4741,5043906,1063.89,0.0,1.0,0.0,1
96,120938,1259.77,0.17,0.0,0.02,1
